e_all	E_all	time(sec)
0.116831	0.127922	0.100000	0.017771
0.116794	0.127886	0.100000	0.017836
0.116757	0.127850	0.100000	0.017799
0.116721	0.127814	0.100000	0.017854
0.116684	0.127779	0.100000	0.017772
0.116648	0.127743	0.100000	0.017846
0.116612	0.127708	0.100000	0.017831
0.116576	0.127673	0.100000	0.017883
0.116540	0.127639	0.100000	0.017913
0.116504	0.127604	0.100000	0.017833
0.116469	0.127570	0.100000	0.017817
0.116433	0.127535	0.100000	0.017900
0.116398	0.127501	0.100000	0.017843
0.116364	0.127467	0.100000	0.017955
0.116329	0.127433	0.100000	0.017916
0.116294	0.127400	0.100000	0.017795
0.116260	0.127366	0.100000	0.017815
0.116226	0.127333	0.100000	0.017833
0.116192	0.127300	0.100000	0.017824
0.116158	0.127267	0.100000	0.017801
0.116124	0.127234	0.100000	0.017791
0.116091	0.127201	0.100000	0.017837
0.116057	0.127169	0.100000	0.017832
0.116024	0.127136	0.100000	0.017836
0.115991	0.127104	0.100000	0.017930
0.115958	0.127072	0.100000	0.017883
0.115926	0.127040	0.100000	0.017791
0.115893	0.127008	0.100000	0.017766
0.115861	0.126977	0.100000	0.017838
0.115829	0.126945	0.100000	0.017991
0.115797	0.126914	0.100000	0.017800
0.115765	0.126883	0.100000	0.017128
0.115733	0.126852	0.100000	0.016211
0.115702	0.126821	0.100000	0.016986
0.115670	0.126790	0.100000	0.016246
0.115639	0.126760	0.100000	0.016419
0.115608	0.126729	0.100000	0.016535
0.115577	0.126699	0.100000	0.016300
0.115546	0.126669	0.100000	0.016582
0.115515	0.126639	0.100000	0.016286
0.115485	0.126609	0.100000	0.016314
0.115455	0.126579	0.100000	0.016419
0.115424	0.126549	0.100000	0.016388
0.115394	0.126520	0.100000	0.016617
0.115364	0.126490	0.100000	0.016299
0.115335	0.126461	0.100000	0.016645
0.115305	0.126432	0.100000	0.016231
0.115276	0.126403	0.100000	0.016659
0.115246	0.126374	0.100000	0.016237
0.115217	0.126346	0.100000	0.016360
0.115188	0.126317	0.100000	0.016563
0.115159	0.126289	0.100000	0.016234
0.115130	0.126260	0.100000	0.016603
0.115102	0.126232	0.100000	0.016388
0.115073	0.126204	0.100000	0.016307
0.115045	0.126176	0.100000	0.016741
0.115017	0.126148	0.100000	0.016313
0.114989	0.126120	0.100000	0.016500
0.114961	0.126093	0.100000	0.016292
0.114933	0.126065	0.100000	0.016581
0.114905	0.126038	0.100000	0.016704
0.114878	0.126011	0.100000	0.016227
0.114850	0.125984	0.100000	0.016599
0.114823	0.125957	0.100000	0.016171
0.114796	0.125930	0.100000	0.016684
0.114769	0.125903	0.100000	0.016169
0.114742	0.125877	0.100000	0.016383
0.114715	0.125850	0.100000	0.016508
0.114688	0.125824	0.100000	0.016299
0.114662	0.125798	0.100000	0.016551
0.114635	0.125772	0.100000	0.016432
0.114609	0.125746	0.100000	0.016259
0.114583	0.125720	0.100000	0.016528
0.114557	0.125694	0.100000	0.016346
0.114531	0.125668	0.100000	0.016613
0.114505	0.125643	0.100000	0.016474
0.114479	0.125617	0.100000	0.016725
0.114454	0.125592	0.100000	0.016216
0.114428	0.125567	0.100000	0.016279
0.114403	0.125541	0.100000	0.016656
0.114378	0.125516	0.100000	0.016178
0.114352	0.125491	0.100000	0.016351
0.114327	0.125467	0.100000	0.016243
0.114303	0.125442	0.100000	0.016383
0.114278	0.125417	0.100000	0.016374
0.114253	0.125393	0.100000	0.016346
0.114229	0.125368	0.100000	0.016558
0.114204	0.125344	0.100000	0.016144
0.114180	0.125320	0.100000	0.016667
0.114156	0.125296	0.100000	0.016544
0.114132	0.125272	0.100000	0.016345
0.114108	0.125248	0.100000	0.016990
0.114084	0.125224	0.100000	0.016353
0.114060	0.125201	0.100000	0.016432
0.114036	0.125177	0.100000	0.016156
0.114013	0.125154	0.100000	0.016358
0.113989	0.125130	0.100000	0.016569
0.113966	0.125107	0.100000	0.016271
0.113943	0.125084	0.100000	0.016697
0.113919	0.125061	0.100000	0.016468
0.113896	0.125038	0.100000	0.016699
0.113873	0.125015	0.100000	0.016299
0.113851	0.124992	0.100000	0.016301
0.113828	0.124969	0.100000	0.016644
0.113805	0.124947	0.100000	0.016266
0.113783	0.124924	0.100000	0.016494
0.113760	0.124902	0.100000	0.016530
0.113738	0.124880	0.100000	0.016535
0.113716	0.124857	0.100000	0.016234
0.113694	0.124835	0.100000	0.016400
0.113672	0.124813	0.100000	0.016505
0.113650	0.124791	0.100000	0.016172
0.113628	0.124769	0.100000	0.016517
0.113606	0.124748	0.100000	0.016286
0.113584	0.124726	0.100000	0.016345
0.113563	0.124704	0.100000	0.016372
0.113541	0.124683	0.100000	0.016578
0.113520	0.124662	0.100000	0.016707
0.113499	0.124640	0.100000	0.016217
0.113477	0.124619	0.100000	0.016610
0.113456	0.124598	0.100000	0.016388
0.113435	0.124577	0.100000	0.016382
0.113414	0.124556	0.100000	0.016739
0.113394	0.124535	0.100000	0.016192
0.113373	0.124514	0.100000	0.016321
0.113352	0.124493	0.100000	0.016324
0.113332	0.124473	0.100000	0.016228
0.113311	0.124452	0.100000	0.016454
0.113291	0.124432	0.100000	0.016337
0.113270	0.124411	0.100000	0.016437
0.113250	0.124391	0.100000	0.016270
0.113230	0.124371	0.100000	0.016612
0.113210	0.124351	0.100000	0.016211
0.113190	0.124331	0.100000	0.016346
0.113170	0.124311	0.100000	0.016455
0.113151	0.124291	0.100000	0.016288
0.113131	0.124271	0.100000	0.016504
0.113111	0.124251	0.100000	0.016331
0.113092	0.124231	0.100000	0.016373
0.113072	0.124212	0.100000	0.016401
0.113053	0.124192	0.100000	0.016226
0.113034	0.124173	0.100000	0.016474
0.113014	0.124153	0.100000	0.016316
0.112995	0.124134	0.100000	0.016299
0.112976	0.124115	0.100000	0.016519
0.112957	0.124096	0.100000	0.016443
0.112938	0.124077	0.100000	0.016513
0.112920	0.124058	0.100000	0.016456
0.112901	0.124039	0.100000	0.016718
0.112882	0.124020	0.100000	0.016335
0.112864	0.124001	0.100000	0.016315
0.112845	0.123983	0.100000	0.016764
0.112827	0.123964	0.100000	0.016215
0.112808	0.123945	0.100000	0.016755
0.112790	0.123927	0.100000	0.016440
0.112772	0.123908	0.100000	0.016786
0.112754	0.123890	0.100000	0.016309
0.112736	0.123872	0.100000	0.016450
0.112718	0.123854	0.100000	0.016663
0.112700	0.123836	0.100000	0.016256
0.112682	0.123818	0.100000	0.016673
0.112664	0.123800	0.100000	0.016309
0.112647	0.123782	0.100000	0.016480
0.112629	0.123764	0.100000	0.016885
0.112611	0.123746	0.100000	0.016398
0.112594	0.123728	0.100000	0.016791
0.112576	0.123711	0.100000	0.017012
0.112559	0.123693	0.100000	0.016421
0.112542	0.123676	0.100000	0.016582
0.112525	0.123658	0.100000	0.016337
0.112508	0.123641	0.100000	0.016393
0.112491	0.123623	0.100000	0.016410
0.112474	0.123606	0.100000	0.016431
0.112457	0.123589	0.100000	0.016464
0.112440	0.123572	0.100000	0.016337
0.112423	0.123555	0.100000	0.016737
0.112406	0.123538	0.100000	0.016311
0.112390	0.123521	0.100000	0.016565
0.112373	0.123504	0.100000	0.016487
0.112357	0.123487	0.100000	0.016606
0.112340	0.123470	0.100000	0.016392
0.112324	0.123454	0.100000	0.016316
0.112307	0.123437	0.100000	0.016628
0.112291	0.123421	0.100000	0.016378
0.112275	0.123404	0.100000	0.016969
0.112259	0.123388	0.100000	0.016393
0.112243	0.123371	0.100000	0.016213
0.112227	0.123355	0.100000	0.016664
0.112211	0.123339	0.100000	0.016290
0.112195	0.123322	0.100000	0.016270
0.112179	0.123306	0.100000	0.016296
0.112163	0.123290	0.100000	0.016302
0.112148	0.123274	0.100000	0.016311
0.112132	0.123258	0.100000	0.016416
0.112116	0.123242	0.100000	0.016519
0.112101	0.123227	0.100000	0.016292
0.112085	0.123211	0.100000	0.016291
0.112070	0.123195	0.100000	0.016377
0.112055	0.123179	0.100000	0.016268
0.112039	0.123164	0.100000	0.016545
0.112024	0.123148	0.100000	0.016223
0.112009	0.123133	0.100000	0.016806
0.111994	0.123117	0.100000	0.016385
0.111979	0.123102	0.100000	0.016264
0.111964	0.123086	0.100000	0.016574
0.111949	0.123071	0.100000	0.016206
0.111934	0.123056	0.100000	0.016433
0.111919	0.123041	0.100000	0.016413
0.111905	0.123026	0.100000	0.016401
0.111890	0.123011	0.100000	0.016351
0.111875	0.122996	0.100000	0.016267
0.111861	0.122981	0.100000	0.016683
0.111846	0.122966	0.100000	0.016309
0.111832	0.122951	0.100000	0.016394
0.111817	0.122936	0.100000	0.016522
